@relation 'hadoop-weka.filters.unsupervised.attribute.Remove-V-R3,6,last'

@attribute ncommitsinproject numeric
@attribute nissuescreatedinproject numeric
@attribute timeopen {0,90}


@data
0,579,90
1532,809,90
0,331,0
1178,740,90
482,333,90
0,233,90
1306,778,90
486,347,90
0,242,0
0,297,90
702,628,90
0,219,0
0,25,90
0,505,90
0,234,90
1396,1126,90
1422,765,90
1431,1044,90
1128,939,90
1316,1069,90
0,568,90
1134,888,90
1248,811,90
872,930,90
888,698,90
0,569,0
0,192,0
988,892,90
1139,863,90
626,622,90
594,512,90
1344,1038,90
798,874,90
656,729,0
1020,741,90
1252,741,90
686,766,90
1179,924,90
0,536,90
422,432,90
0,509,90
0,362,90
0,565,90
478,332,90
988,687,90
0,329,90
905,819,90
1246,916,90
0,569,90
0,364,90
0,110,90
770,659,90
0,98,90
990,890,0
1240,907,90
990,888,90
998,890,90
556,666,90
1310,777,90
0,365,90
666,600,90
1252,982,0
759,808,0
1388,809,90
1200,876,90
614,629,90
1139,920,90
1336,1078,90
1224,952,0
850,834,90
0,615,90
0,264,0
0,377,90
0,280,90
0,556,90
0,221,90
1108,822,90
604,686,0
0,279,0
612,632,90
747,805,90
0,187,90
1566,1180,90
1104,751,90
0,555,90
1016,739,90
590,620,90
950,677,90
0,288,90
1308,1015,0
486,357,90
0,298,90
0,567,90
0,634,90
0,597,90
0,639,90
1116,972,90
0,626,90
1422,1002,0
0,485,90
0,222,90
0,495,90
1214,916,90
644,680,90
670,567,90
1118,788,90
661,718,90
1218,925,90
970,787,90
782,661,90
1284,1070,90
0,336,90
0,273,90
1169,917,0
1120,877,90
0,549,90
1110,724,0
1130,803,90
1334,1098,90
0,629,90
1182,961,90
640,693,0
0,616,90
1172,958,0
1518,808,90
1292,1096,90
1018,919,0
1264,1063,0
1426,1068,90
128,526,90
1440,1078,0
0,215,90
984,685,90
624,706,0
468,333,90
1514,1169,90
0,473,90
904,877,0
0,225,90
1449,910,90
720,532,90
952,716,90
862,669,90
1112,796,90
0,598,90
852,665,90
0,564,90
648,567,90
1124,734,90
1034,856,0
903,825,90
985,1078,90
1291,920,90
652,580,90
0,591,90
512,609,90
1372,1036,90
0,637,90
0,450,0
0,551,90
0,292,90
0,551,90
1086,726,90
0,281,90
1144,1042,90
0,518,90
0,294,0
974,747,0
612,712,90
1368,1108,90
748,772,90
0,215,0
0,574,90
774,539,90
984,890,90
1074,987,90
0,276,90
0,330,90
0,339,90
794,816,90
1128,795,90
1128,848,0
0,100,90
960,745,90
1314,1083,90
1220,1016,90
1208,996,90
1006,888,90
0,87,90
0,363,90
808,867,90
554,715,90
758,860,90
979,1100,90
1460,1138,0
879,690,90
0,649,90
962,962,0
0,552,90
0,612,90
536,717,90
682,759,90
0,628,90
988,898,0
972,888,90
1401,1040,90
1088,772,90
966,746,90
1458,934,90
895,786,90
1280,999,90
1112,826,0
1032,742,90
1422,766,0
1120,790,90
128,532,90
1326,1099,90
1106,815,90
946,688,90
1344,1116,90
0,289,90
1308,1069,0
902,690,90
753,810,0
909,825,90
909,806,90
0,488,90
663,722,90
0,279,90
0,461,90
538,503,90
1374,1101,90
0,497,90
0,628,90
0,589,90
486,358,90
0,179,90
1366,1035,90
1136,964,90
936,659,90
0,351,90
0,293,0
1126,689,90
772,661,90
1010,900,90
0,318,90
772,660,90
1278,809,90
981,924,90
1460,965,90
728,639,90
587,693,0
1502,800,90
0,282,90
1382,1117,90
1110,714,90
0,596,90
1408,775,0
1008,890,90
0,539,90
0,547,90
0,590,90
0,335,90
1117,958,90
