@relation 'ofbiz-weka.filters.unsupervised.attribute.Remove-V-R1,3,5,7,last'

@attribute issuecleanedbodylen numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,1}


@data
44,795,1,70,1
19,191,3,16,1
12,196,1,97,1
87,224,35,109,1
13,455,0,57,0
43,1130,19,193,1
51,189,11,16,1
8,868,0,77,1
27,211,0,46,1
12,128,9,31,1
7,186,33,59,1
44,856,7,139,1
74,357,0,123,1
105,745,3,114,1
37,968,4,159,1
39,103,0,27,1
28,371,4,116,1
99,199,4,50,1
11,918,14,91,1
39,227,18,76,1
11,1325,10,117,1
15,360,0,125,0
41,1319,63,178,1
38,1162,10,175,1
42,336,20,75,1
24,1177,23,198,0
53,796,2,87,1
47,195,2,31,1
29,194,14,49,1
81,1170,2,196,1
72,1162,4,112,1
61,362,5,127,1
101,426,0,37,1
39,935,3,146,1
89,728,0,71,1
48,797,3,87,1
6,559,1,61,1
34,721,0,75,1
43,409,6,80,1
86,284,7,33,1
51,595,2,134,0
34,1149,0,229,1
122,354,5,61,1
27,960,1,78,1
30,1191,15,221,1
33,209,2,80,1
60,704,17,126,0
33,1200,15,150,1
2,181,0,55,0
130,718,16,120,1
46,1001,7,147,1
38,600,0,61,1
62,187,0,47,1
43,888,16,122,1
39,1247,9,184,1
54,397,0,42,1
61,1147,0,107,1
51,726,0,141,1
35,927,25,164,0
44,1214,13,128,1
72,317,0,63,0
142,350,1,64,1
5,277,4,80,1
1594,239,0,124,1
202,630,2,136,1
102,280,2,84,0
102,706,20,117,1
451,271,28,85,0
14,873,1,82,1
37,1235,0,191,1
43,1099,2,190,0
51,370,1,58,1
21,1172,1,196,1
49,1139,1,104,1
171,547,1,41,1
92,1153,12,204,1
228,203,3,40,1
21,857,6,139,1
59,124,0,58,0
131,408,6,48,0
50,1186,7,226,1
49,203,1,118,0
47,216,17,105,1
73,296,0,92,1
38,270,0,29,0
8,930,7,98,0
7,280,69,80,1
61,848,0,94,0
92,947,4,157,1
1470,571,16,101,0
73,961,4,137,1
50,453,3,88,0
13,336,9,97,1
408,575,17,103,1
110,106,0,31,1
63,481,1,53,0
46,322,7,35,0
12,351,2,41,1
116,899,18,81,1
69,896,0,137,1
174,664,0,129,1
3,1136,2,89,1
47,0,0,23,1
57,822,7,136,1
30,1187,13,225,0
20,1187,10,218,0
145,90,0,32,1
83,272,1,53,0
88,932,42,84,1
24,206,1,119,1
28,152,24,63,1
17,527,2,84,0
23,963,25,153,0
16,881,31,163,1
270,298,6,31,1
74,376,0,71,1
53,1081,4,189,0
47,1076,0,180,1
24,299,0,31,0
191,173,29,65,1
23,1259,3,189,1
36,419,6,75,0
37,718,0,74,1
38,1188,3,219,1
94,297,6,93,0
762,143,10,62,1
37,619,0,130,1
192,1219,0,72,1
89,341,9,117,1
66,606,2,72,1
31,1090,11,189,1
7,575,0,82,1
38,1321,4,139,0
35,1241,2,181,0
22,719,7,79,1
430,557,16,103,1
4,1212,1,177,1
17,903,3,159,1
18,278,0,81,1
46,283,10,111,0
73,497,1,99,1
69,951,8,138,1
87,359,0,69,1
55,712,0,134,1
49,313,12,73,1
189,729,2,70,1
28,750,0,155,0
69,470,5,52,1
39,1244,6,146,0
31,216,45,103,0
63,372,6,38,1
73,1202,3,152,1
207,727,4,154,1
22,620,14,131,1
115,786,0,116,1
169,592,0,63,1
16,107,1,53,0
8,1172,5,118,0
13,397,5,38,1
32,847,0,62,1
4,1202,0,152,1
27,420,8,84,1
150,1190,1,176,1
206,441,10,85,1
199,547,1,41,1
22,366,18,111,1
116,321,1,80,1
18,272,3,87,1
28,321,52,100,1
35,160,15,29,1
35,1136,0,89,1
22,226,0,83,0
16,258,8,39,1
58,625,4,135,1
54,130,0,55,1
57,1235,4,180,1
47,747,2,148,1
166,575,17,103,1
63,1191,0,178,0
110,627,3,134,1
1775,1154,3,203,0
34,1193,21,207,0
12,1229,9,148,1
36,257,7,36,1
16,1062,41,190,1
74,1141,0,169,0
110,1207,2,198,1
140,748,5,159,1
22,1514,27,266,0
24,773,4,120,1
7,1251,0,146,1
33,851,5,152,1
12,362,1,70,1
4,1360,4,243,0
18,704,1,69,1
2027,197,1,56,0
254,536,3,101,1
45,1210,0,192,1
64,237,1,20,1
72,1099,3,190,0
33,132,2,53,0
53,397,5,39,1
48,1163,2,222,1
42,975,0,155,1
29,369,2,111,1
68,365,4,63,1
59,283,7,33,1
68,508,12,100,1
60,609,0,130,1
62,616,3,89,0
19,819,19,135,1
17,252,1,34,0
9,543,0,79,1
71,1181,1,222,0
25,605,1,134,1
31,656,12,77,1
144,776,1,114,1
7,186,33,59,1
14,335,2,36,0
43,865,1,85,1
12,832,0,125,1
46,359,4,117,1
29,329,2,59,1
96,558,3,104,1
30,1423,18,256,1
59,362,8,49,0
1687,339,0,75,0
101,557,15,103,1
38,587,3,67,1
17,870,0,77,1
62,816,0,84,1
99,706,9,138,1
50,703,1,66,1
13,362,33,63,1
127,325,15,59,1
51,175,0,69,1
35,1517,28,269,1
26,1162,10,175,1
45,707,4,137,1
47,829,3,124,0
58,917,0,80,1
88,1107,5,192,1
16,374,0,58,0
78,723,1,153,1
21,114,12,55,1
123,210,2,104,1
1,1019,0,137,0
51,281,2,32,1
19,196,1,104,1
22,200,38,98,1
60,292,8,32,1
164,300,6,31,1
22,845,4,89,1
110,494,3,97,1
20,275,10,41,1
22,318,51,98,1
101,38,1,27,1
10,466,1,39,1
74,309,6,69,1
128,727,6,154,1
22,362,5,127,1
12,1148,6,111,1
189,528,8,86,1
39,324,6,64,1
40,367,0,65,1
16,707,11,124,0
159,725,21,153,0
7,309,32,101,0
52,558,0,47,0
58,750,2,158,1
131,275,4,26,1
38,547,1,62,1
8,1189,24,217,1
8,1144,8,89,1
16,871,0,79,1
23,109,3,31,1
25,221,22,67,0
37,1156,2,170,0
96,362,8,71,1
52,158,0,34,1
21,683,9,133,1
80,1275,1,173,1
10,1006,9,149,0
79,267,0,23,1
27,786,12,116,1
35,1424,4,256,1
43,322,4,63,1
18,37,0,27,1
47,677,0,73,1
233,682,4,133,1
