This file contains summary statistics (precision, recall, pf, f1, ROC) for the generated models.
Each section contains the ten (prec pd pf F1 ROC) stats calculated for each fold in 10-fold cross validation, with the dataset being cross-validated listed at the top of the section.

camelbefore14
prec  pd    pf    F1    ROC
0.703 0.623 0.109 0.661 0.833
0.711 0.643 0.107 0.675 0.834
0.712 0.641 0.107 0.674 0.834
0.711 0.642 0.107 0.675 0.834
0.715 0.639 0.105 0.675 0.832
0.717 0.641 0.104 0.677 0.833
0.72 0.64 0.103 0.678 0.833
0.719 0.645 0.104 0.68 0.834
0.719 0.652 0.106 0.683 0.834
0.718 0.653 0.107 0.684 0.834

combinedbefore1
prec  pd    pf    F1    ROC
0.463 0.135 0.029 0.21 0.791
0.496 0.138 0.025 0.216 0.79
0.488 0.137 0.026 0.214 0.791
0.496 0.147 0.027 0.227 0.792
0.509 0.15 0.026 0.231 0.794
0.521 0.153 0.025 0.237 0.796
0.519 0.157 0.026 0.241 0.796
0.519 0.155 0.026 0.238 0.795
0.525 0.155 0.025 0.24 0.794
0.525 0.155 0.025 0.239 0.796

combinedbefore30
prec  pd    pf    F1    ROC
0.748 0.746 0.131 0.747 0.829
0.75 0.753 0.128 0.752 0.829
0.75 0.757 0.13 0.753 0.83
0.749 0.756 0.13 0.753 0.831
0.749 0.753 0.129 0.751 0.83
0.748 0.751 0.129 0.75 0.83
0.75 0.75 0.128 0.75 0.83
0.748 0.75 0.129 0.749 0.83
0.75 0.752 0.129 0.751 0.83
0.749 0.75 0.129 0.75 0.829

combinedbefore7
prec  pd    pf    F1    ROC
0.651 0.627 0.116 0.639 0.829
0.654 0.624 0.113 0.639 0.826
0.652 0.63 0.115 0.641 0.826
0.655 0.629 0.113 0.642 0.827
0.658 0.629 0.113 0.643 0.827
0.657 0.631 0.113 0.644 0.827
0.659 0.633 0.112 0.646 0.828
0.659 0.635 0.113 0.647 0.828
0.66 0.636 0.113 0.648 0.828
0.659 0.637 0.113 0.648 0.827

combinedbefore90
prec  pd    pf    F1    ROC
0.798 0.722 0.151 0.758 0.836
0.792 0.72 0.153 0.754 0.83
0.793 0.724 0.154 0.757 0.829
0.792 0.722 0.154 0.755 0.828
0.791 0.717 0.155 0.752 0.825
0.789 0.715 0.155 0.75 0.825
0.79 0.716 0.155 0.751 0.826
0.789 0.717 0.155 0.751 0.826
0.79 0.72 0.155 0.753 0.827
0.792 0.718 0.154 0.753 0.827

deeplearningbefore14
prec  pd    pf    F1    ROC
0.875 1 1 0.933 0.5
0.854 1 1 0.921 0.458
0.854 1 1 0.921 0.463
0.865 1 1 0.927 0.444
0.868 1 1 0.929 0.447
0.863 1 1 0.927 0.446
0.861 1 1 0.925 0.449
0.85 1 1 0.919 0.427
0.853 1 1 0.921 0.429
0.851 1 1 0.92 0.433

deeplearningbefore1
prec  pd    pf    F1    ROC
0.768 0.777 0.44 0.772 0.668
0.802 0.806 0.392 0.804 0.685
0.8 0.786 0.401 0.793 0.678
0.785 0.771 0.422 0.778 0.652
0.789 0.767 0.405 0.778 0.659
0.78 0.769 0.416 0.774 0.655
0.779 0.76 0.41 0.77 0.656
0.78 0.758 0.401 0.769 0.661
0.778 0.765 0.411 0.772 0.662
0.773 0.762 0.414 0.767 0.657

deeplearningbefore30
prec  pd    pf    F1    ROC
0.903 1 1 0.949 0.5
0.896 1 1 0.945 0.481
0.907 1 1 0.951 0.445
0.915 1 1 0.956 0.43
0.917 1 1 0.956 0.435
0.912 1 1 0.954 0.432
0.908 1 1 0.952 0.434
0.902 1 1 0.949 0.423
0.906 1 1 0.951 0.416
0.902 1 1 0.948 0.412

deeplearningbefore7
prec  pd    pf    F1    ROC
0.771 1 1 0.871 0.5
0.785 1 1 0.879 0.479
0.792 1 1 0.884 0.477
0.804 1 1 0.891 0.457
0.805 1 1 0.892 0.461
0.803 1 1 0.891 0.463
0.802 1 1 0.89 0.467
0.794 1 1 0.885 0.455
0.8 1 1 0.889 0.448
0.798 1 1 0.888 0.45

deeplearningbefore90
prec  pd    pf    F1    ROC
0.972 1 1 0.986 0.5
0.962 1 1 0.981 0.429
0.954 1 1 0.976 0.413
0.958 1 1 0.979 0.402
0.961 1 1 0.98 0.403
0.956 1 1 0.977 0.389
0.954 1 1 0.977 0.395
0.951 1 1 0.975 0.396
0.952 1 1 0.975 0.398
0.95 1 1 0.974 0.4

hadoopbefore14
prec  pd    pf    F1    ROC
0 0 0 0 0.5
0 0 0 0 0.476
0 0 0 0 0.479
0 0 0 0 0.473
0 0 0 0 0.473
0 0 0 0 0.473
0 0 0 0 0.474
0 0 0 0 0.468
0 0 0 0 0.468
0 0 0 0 0.461

hadoopbefore1
prec  pd    pf    F1    ROC
0 0 0 0 0.5
0 0 0 0 0.417
0 0 0 0 0.417
0 0 0 0 0.425
0 0 0 0 0.375
0 0 0 0 0.381
0 0 0 0 0.362
0 0 0 0 0.368
0 0 0 0 0.372
0 0 0 0 0.375

hadoopbefore30
prec  pd    pf    F1    ROC
0 0 0 0 0.5
0 0 0 0 0.486
0 0 0 0 0.47
0 0 0 0 0.474
0 0 0 0 0.472
0 0 0 0 0.474
0 0 0 0 0.476
0 0 0 0 0.478
0 0 0 0 0.477
0 0 0 0 0.473

hadoopbefore7
prec  pd    pf    F1    ROC
0 0 0 0 0.5
0 0 0 0 0.46
0 0 0 0 0.433
0 0 0 0 0.441
0 0 0 0 0.42
0 0 0 0 0.413
0 0 0 0 0.412
0 0 0 0 0.415
0 0 0 0 0.419
0 0 0 0 0.416

hadoopbefore90
prec  pd    pf    F1    ROC
0 0 0 0 0.5
0 0 0 0 0.491
0 0 0 0 0.482
