@relation 'hive-weka.filters.unsupervised.attribute.Remove-V-R2,3,5,6,7,last'

@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data
0,424,0,660,1,1000
0,484,2,842,0,180
0,710,0,1006,3,365
0,148,1,387,0,365
0,168,25,316,38,180
0,500,2,813,5,90
0,421,3,660,3,365
0,291,0,529,52,180
0,132,0,215,0,1000
0,746,0,1013,179,365
0,476,1,707,1,365
0,610,0,853,19,90
0,160,0,272,0,1000
0,98,0,219,2,1000
0,128,0,187,0,365
0,377,0,543,20,180
0,657,2,945,12,365
0,89,0,153,1,1000
0,352,0,545,1,1000
0,66,0,161,0,180
0,104,0,230,0,365
0,107,0,188,0,1000
0,366,0,609,1,365
0,126,0,197,0,90
0,264,2,494,18,180
0,118,0,344,0,180
0,771,0,1062,1,30
0,691,0,946,10,90
0,687,2,982,1,90
0,740,15,999,155,365
0,241,0,488,0,180
0,558,0,817,2,90
0,125,14,207,37,180
0,53,0,143,0,1000
0,475,0,791,3,180
61,158,0,269,0,1000
48,138,0,245,0,1000
0,85,0,149,0,1000
0,612,0,837,62,180
0,327,0,532,0,90
0,825,0,1082,1,14
0,783,10,1043,201,365
0,559,0,797,29,90
0,801,0,1075,1,30
14,294,31,545,98,180
0,460,1,718,4,90
0,764,5,1051,213,365
0,126,1,298,2,365
0,500,1,831,3,90
0,550,0,833,7,365
0,491,2,703,1,90
0,744,0,1012,154,365
0,92,15,214,0,365
0,131,0,197,0,365
0,560,0,813,29,180
0,300,3,496,16,180
0,770,2,1046,208,365
0,82,0,153,0,1000
0,87,0,155,0,1000
0,668,12,912,79,365
0,107,0,219,0,1000
21,362,1,601,1,365
32,609,1,867,23,90
0,666,0,914,71,365
0,167,0,332,0,180
0,80,0,167,0,1000
0,139,0,280,0,180
0,142,0,247,0,1000
0,127,0,217,1,90
0,818,0,1081,1,30
0,472,0,690,1,1000
0,126,0,211,43,365
0,786,12,1071,233,365
13,41,0,118,0,1000
0,124,0,307,0,1000
0,522,1,824,1,180
0,132,0,233,0,1000
0,303,6,543,69,180
0,121,0,200,0,14
0,570,14,835,9,365
0,288,0,497,14,180
0,611,1,847,14,90
0,440,1,623,4,180
0,124,0,202,0,1000
0,754,6,1037,1,14
0,639,0,946,2,90
0,780,0,1062,1,90
0,768,12,1047,234,365
0,644,0,940,2,90
0,127,0,256,0,1000
0,147,49,333,5,90
0,430,0,625,4,180
0,723,0,1020,1,90
0,81,0,171,1,1000
0,109,3,224,19,1000
0,68,0,163,0,180
0,124,0,195,0,365
