@relation 'hadoop-weka.filters.unsupervised.attribute.Remove-V-R3,6,last'

@attribute ncommitsinproject numeric
@attribute nissuescreatedinproject numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data
1308,1072,1000
1052,755,1000
0,313,1
482,592,1000
0,635,180
1144,1022,30
610,711,90
0,236,1000
1448,1012,90
974,667,365
1184,742,365
571,803,180
0,265,1000
0,561,1000
0,180,1000
770,824,90
0,620,365
558,674,180
1354,1036,365
1010,904,180
1118,798,1000
1358,1012,1000
924,692,1000
0,216,1000
0,163,1000
1256,813,1000
600,689,90
0,620,365
976,710,365
0,579,365
1532,809,1000
0,331,30
1178,740,1000
482,333,365
0,233,1000
1306,778,1000
486,347,365
0,242,14
0,297,1000
702,628,1000
0,219,90
0,25,1000
0,505,365
0,234,1000
1396,1126,1000
1422,765,365
1431,1044,365
1128,939,1000
1316,1069,180
0,568,1000
1134,888,180
1248,811,180
872,930,365
888,698,1000
0,569,30
0,192,90
988,892,1000
1139,863,180
626,622,1000
594,512,1000
1344,1038,180
798,874,1000
656,729,90
1020,741,180
1252,741,1000
686,766,180
1179,924,180
0,536,1000
422,432,1000
0,509,1000
0,362,1000
0,565,1000
478,332,1000
988,687,365
0,329,1000
905,819,180
1246,916,365
0,569,180
0,364,1000
0,110,1000
770,659,365
0,98,1000
990,890,90
1240,907,180
990,888,180
998,890,180
556,666,1000
1310,777,1000
0,365,1000
666,600,365
1252,982,30
759,808,90
1388,809,1000
1200,876,365
614,629,365
1139,920,180
1336,1078,1000
1224,952,90
850,834,180
0,615,1000
0,264,14
0,377,180
0,280,1000
0,556,1000
0,221,1000
1108,822,365
604,686,90
0,279,90
612,632,1000
747,805,1000
0,187,1000
1566,1180,180
1104,751,1000
0,555,1000
1016,739,1000
590,620,1000
950,677,1000
0,288,1000
1308,1015,30
486,357,180
0,298,1000
0,567,1000
0,634,1000
0,597,365
0,639,1000
1116,972,1000
0,626,180
1422,1002,90
0,485,1000
0,222,1000
0,495,1000
1214,916,1000
644,680,1000
670,567,1000
1118,788,1000
661,718,365
1218,925,180
970,787,180
782,661,365
1284,1070,1000
0,336,1000
0,273,1000
1169,917,90
1120,877,180
0,549,365
1110,724,90
1130,803,1000
1334,1098,1000
0,629,365
1182,961,180
640,693,90
0,616,1000
1172,958,90
1518,808,180
1292,1096,1000
1018,919,90
1264,1063,30
1426,1068,1000
128,526,1000
1440,1078,90
0,215,1000
984,685,365
624,706,90
468,333,365
1514,1169,1000
0,473,180
904,877,90
0,225,1000
1449,910,180
720,532,365
952,716,365
862,669,365
1112,796,180
0,598,1000
852,665,365
0,564,180
648,567,1000
1124,734,1000
1034,856,90
903,825,1000
985,1078,180
1291,920,180
652,580,365
0,591,1000
512,609,1000
1372,1036,1000
0,637,1000
0,450,90
0,551,1000
0,292,1000
0,551,180
1086,726,1000
0,281,1000
1144,1042,365
0,518,365
0,294,14
974,747,90
612,712,365
1368,1108,1000
748,772,180
0,215,90
0,574,1000
774,539,365
984,890,180
1074,987,1000
0,276,1000
0,330,1000
0,339,1000
794,816,180
1128,795,1000
1128,848,90
0,100,1000
960,745,1000
1314,1083,180
1220,1016,180
1208,996,180
1006,888,365
0,87,1000
0,363,1000
808,867,1000
554,715,180
758,860,180
979,1100,365
1460,1138,90
879,690,1000
0,649,365
962,962,90
0,552,1000
0,612,180
536,717,180
682,759,365
0,628,365
988,898,90
972,888,1000
1401,1040,365
1088,772,180
966,746,1000
1458,934,180
895,786,1000
1280,999,365
1112,826,90
1032,742,1000
1422,766,30
1120,790,1000
128,532,1000
1326,1099,180
1106,815,365
946,688,1000
1344,1116,1000
0,289,1000
1308,1069,14
902,690,1000
753,810,90
909,825,1000
909,806,180
0,488,1000
663,722,180
0,279,1000
0,461,1000
538,503,1000
1374,1101,1000
0,497,1000
0,628,365
0,589,365
486,358,180
0,179,1000
1366,1035,180
1136,964,365
936,659,365
0,351,1000
0,293,90
1126,689,365
772,661,365
1010,900,180
0,318,1000
772,660,365
1278,809,1000
981,924,180
1460,965,180
728,639,1000
587,693,90
1502,800,180
0,282,1000
1382,1117,365
1110,714,1000
0,596,1000
1408,775,90
1008,890,180
0,539,1000
0,547,180
0,590,365
0,335,1000
1117,958,180
1378,1041,1000
1060,743,1000
0,571,1000
1110,821,365
0,627,14
706,740,30
926,681,1000
830,875,365
668,619,1000
607,706,90
1120,795,1000
1186,757,30
660,734,1000
1433,998,365
1182,743,90
0,373,1000
652,625,1000
586,521,1000
602,709,90
1448,962,1000
1162,787,90
0,214,1000
0,307,1000
0,566,180
1441,900,180
602,628,1000
632,579,1000
30,572,1000
1160,767,365
791,879,180
0,588,365
1276,996,90
901,834,1000
1126,802,1000
1104,837,90
0,348,30
0,311,1000
895,769,180
862,692,1000
1138,791,1000
0,535,1000
1034,733,30
1201,885,90
0,533,1000
610,549,1000
0,537,1000
1238,960,90
632,625,1000
0,292,1000
0,606,180
749,810,1000
468,331,365
0,291,180
1412,1135,1000
1330,1038,1000
1460,1140,1000
1536,806,180
0,280,1000
1204,723,365
416,426,1000
0,354,1000
0,268,90
0,364,1000
893,763,180
1536,1187,365
710,630,1000
582,515,1000
0,226,1000
0,576,1000
1078,770,1000
0,578,365
590,570,1000
863,837,180
1135,856,1000
912,657,365
1514,797,180
901,844,1000
0,528,180
1376,1035,90
1014,904,1000
0,614,90
1000,967,365
1042,988,90
1102,750,365
0,225,1000
985,1072,90
1396,1126,180
1386,1052,90
1421,1000,90
0,355,1000
1427,1047,365
1346,1043,180
1356,926,180
1564,818,180
581,770,180
1456,921,180
1232,960,90
817,941,90
1218,954,1000
762,832,90
0,224,1000
1137,862,1000
0,39,1000
1428,760,180
0,215,1000
0,215,90
1412,1138,1000
0,533,1000
0,507,30
0,286,1000
1568,799,180
1402,818,1000
484,598,1000
1404,1034,90
226,536,1000
854,678,365
1456,925,1000
1138,936,1000
836,662,365
424,598,1000
0,329,1000
0,349,1000
0,191,1000
0,437,1000
1470,1165,180
1280,755,1000
