This file contains summary statistics (precision, recall, pf, f1, ROC) for the generated models.
Each section contains the ten (prec pd pf F1 ROC) stats calculated for each fold in 10-fold cross validation, with the dataset being cross-validated listed at the top of the section.

camelbefore14
prec  pd    pf    F1    ROC
0.655 0.95 0.107 0.776 0.908
0.656 0.959 0.109 0.779 0.911
0.645 0.956 0.111 0.77 0.908
0.655 0.958 0.107 0.778 0.911
0.669 0.961 0.106 0.789 0.913
0.668 0.966 0.109 0.79 0.914

combinedbefore14
prec  pd    pf    F1    ROC
0.681 0.764 0.148 0.72 0.837
0.687 0.77 0.143 0.726 0.838
0.697 0.733 0.131 0.714 0.838
0.691 0.736 0.135 0.713 0.837
0.691 0.74 0.137 0.715 0.835
0.697 0.725 0.13 0.711 0.836
0.703 0.715 0.124 0.709 0.836
0.705 0.707 0.122 0.706 0.837
0.71 0.698 0.118 0.704 0.836
0.707 0.706 0.121 0.706 0.836

combinedbefore1
prec  pd    pf    F1    ROC
0.525 0.146 0.024 0.229 0.784
0.54 0.155 0.024 0.241 0.786
0.547 0.169 0.025 0.258 0.789
0.521 0.195 0.032 0.284 0.788
0.534 0.195 0.031 0.285 0.789
0.545 0.195 0.029 0.287 0.791
0.545 0.196 0.029 0.288 0.79
0.541 0.193 0.029 0.284 0.789
0.547 0.193 0.029 0.285 0.789
0.55 0.191 0.028 0.283 0.79

combinedbefore30
prec  pd    pf    F1    ROC
0.774 0.67 0.103 0.718 0.829
0.762 0.715 0.114 0.738 0.83
0.765 0.71 0.112 0.737 0.831
0.766 0.702 0.11 0.733 0.832
0.767 0.699 0.109 0.731 0.83
0.763 0.707 0.112 0.733 0.831
0.766 0.706 0.11 0.735 0.831
0.764 0.705 0.111 0.734 0.831
0.766 0.704 0.11 0.734 0.831
0.766 0.701 0.11 0.732 0.83

combinedbefore7
prec  pd    pf    F1    ROC
0.651 0.639 0.118 0.645 0.829
0.648 0.651 0.121 0.649 0.827
0.651 0.653 0.12 0.652 0.827
0.655 0.653 0.117 0.654 0.828
0.66 0.653 0.116 0.656 0.828
0.66 0.655 0.115 0.658 0.829
0.662 0.657 0.115 0.659 0.829
0.662 0.656 0.115 0.659 0.829
0.663 0.656 0.114 0.659 0.829
0.663 0.655 0.115 0.659 0.828

combinedbefore90
prec  pd    pf    F1    ROC
0.769 0.773 0.191 0.771 0.851
0.763 0.77 0.194 0.766 0.844
0.766 0.774 0.192 0.77 0.844
0.764 0.772 0.193 0.768 0.844
0.764 0.768 0.194 0.766 0.842
0.762 0.767 0.194 0.765 0.842
0.762 0.769 0.196 0.765 0.843
0.761 0.771 0.196 0.766 0.843
0.761 0.773 0.197 0.767 0.844
0.763 0.772 0.196 0.767 0.844

deeplearningbefore14
prec  pd    pf    F1    ROC
0.875 1 1 0.933 0.5
0.854 1 1 0.921 0.458
0.854 1 1 0.921 0.463
0.865 1 1 0.927 0.444
0.868 1 1 0.929 0.447
0.863 1 1 0.927 0.446
0.861 1 1 0.925 0.449
0.85 1 1 0.919 0.427
0.853 1 1 0.921 0.429
0.851 1 1 0.92 0.433

deeplearningbefore1
prec  pd    pf    F1    ROC
0.745 0.84 0.54 0.79 0.676
0.77 0.859 0.505 0.812 0.7
0.769 0.852 0.521 0.809 0.692
0.763 0.82 0.51 0.79 0.668
0.759 0.818 0.512 0.787 0.672
0.755 0.811 0.503 0.782 0.665
0.758 0.797 0.486 0.777 0.667
0.754 0.798 0.489 0.776 0.671
0.75 0.805 0.504 0.777 0.67
0.748 0.798 0.497 0.772 0.665

deeplearningbefore30
prec  pd    pf    F1    ROC
0.903 1 1 0.949 0.5
0.896 1 1 0.945 0.481
0.907 1 1 0.951 0.445
0.915 1 1 0.956 0.43
0.917 1 1 0.956 0.435
0.912 1 1 0.954 0.432
0.908 1 1 0.952 0.434
0.902 1 1 0.949 0.423
0.906 1 1 0.951 0.416
0.902 1 1 0.948 0.412

deeplearningbefore7
prec  pd    pf    F1    ROC
0.771 1 1 0.871 0.5
0.785 1 1 0.879 0.479
0.792 1 1 0.884 0.477
0.804 1 1 0.891 0.457
0.805 1 1 0.892 0.461
0.803 1 1 0.891 0.463
0.802 1 1 0.89 0.467
0.794 1 1 0.885 0.455
0.8 1 1 0.889 0.448
0.798 1 1 0.888 0.45

deeplearningbefore90
prec  pd    pf    F1    ROC
0.972 1 1 0.986 0.5
0.962 1 1 0.981 0.429
0.954 1 1 0.976 0.413
0.958 1 1 0.979 0.402
0.961 1 1 0.98 0.403
0.956 1 1 0.977 0.389
0.954 1 1 0.977 0.395
0.951 1 1 0.975 0.396
0.952 1 1 0.975 0.398
0.95 1 1 0.974 0.4

hadoopbefore14
prec  pd    pf    F1    ROC
0 0 0 0 0.5
0 0 0 0 0.476
0 0 0 0 0.479
0 0 0 0 0.473
0 0 0 0 0.473
0 0 0 0 0.473
0 0 0 0 0.474
0 0 0 0 0.468
0 0 0 0 0.468
0 0 0 0 0.461

hadoopbefore1
prec  pd    pf    F1    ROC
0 0 0 0 0.5
0 0 0 0 0.417
0 0 0 0 0.417
0 0 0 0 0.425
0 0 0 0 0.375
0 0 0 0 0.381
0 0 0 0 0.362
0 0 0 0 0.368
0 0 0 0 0.372
0 0 0 0 0.375

hadoopbefore30
prec  pd    pf    F1    ROC
0 0 0 0 0.5
0 0 0 0 0.486
0 0 0 0 0.47
0 0 0 0 0.474
0 0 0 0 0.472
0 0 0 0 0.474
0 0 0 0 0.476
0 0 0 0 0.478
0 0 0 0 0.477
0 0 0 0 0.473

hadoopbefore7
prec  pd    pf    F1    ROC
0 0 0 0 0.5
0 0 0 0 0.46
0 0 0 0 0.433
0 0 0 0 0.441
0 0 0 0 0.42
0 0 0 0 0.413
0 0 0 0 0.412
0 0 0 0 0.415
0 0 0 0 0.419
0 0 0 0 0.416

hadoopbefore90
prec  pd    pf    F1    ROC
0 0 0 0 0.5
0 0 0 0 0.491
0.591 0.057 0.009 0.103 0.568
0.591 0.042 0.007 0.079 0.548
0.557 0.059 0.011 0.106 0.563
0.557 0.049 0.009 0.089 0.551
0.557 0.041 0.008 0.077 0.54
0.564 0.058 0.011 0.106 0.549
0.564 0.052 0.01 0.096 0.543
0.564 0.047 0.009 0.086 0.538

hivebefore14
prec  pd    pf    F1    ROC
0.333 0.222 0.007 0.267 0.608
0.462 0.3 0.006 0.364 0.646
0.524 0.367 0.006 0.431 0.658
0.538 0.341 0.005 0.418 0.64
0.485 0.327 0.006 0.39 0.631
0.538 0.368 0.005 0.438 0.634
0.574 0.38 0.005 0.458 0.643
0.571 0.4 0.005 0.471 0.648
0.574 0.393 0.005 0.467 0.647
0.559 0.388 0.005 0.458 0.647

hivebefore1
prec  pd    pf    F1    ROC
0 0 0 0 0.5
0 0 0 0 0.349
0 0 0 0 0.374
0 0 0 0 0.347
0 0 0 0 0.366
0 0 0 0 0.305
0 0 0 0 0.328
0 0 0 0 0.334
0 0 0 0 0.327
0 0 0 0 0.294

hivebefore30
prec  pd    pf    F1    ROC
0 0 0 0 0.5
0 0 0 0 0.473
0 0 0 0 0.475
0 0 0 0 0.446
0 0 0 0 0.451
0 0 0 0 0.454
0 0 0 0 0.455
0 0 0 0 0.457
0 0 0 0 0.457
0 0 0 0 0.46

hivebefore7
prec  pd    pf    F1    ROC
0 0 0 0 0.5
0 0 0 0 0.472
0 0 0 0 0.474
0 0 0 0 0.478
0 0 0 0 0.46
0 0 0 0 0.465
0 0 0 0 0.423
0 0 0 0 0.419
0 0 0 0 0.403
0 0 0 0 0.404

hivebefore90
prec  pd    pf    F1    ROC
0.61 0.538 0.092 0.571 0.829
0.623 0.49 0.086 0.549 0.834
0.605 0.487 0.091 0.54 0.821
0.613 0.505 0.094 0.554 0.819
0.62 0.497 0.092 0.551 0.823
0.641 0.54 0.094 0.586 0.828
0.633 0.552 0.099 0.59 0.823
0.621 0.56 0.105 0.589 0.814
0.617 0.575 0.109 0.595 0.816
0.624 0.57 0.106 0.596 0.816

kafkabefore14
prec  pd    pf    F1    ROC
0.814 0.905 0.542 0.857 0.744
0.806 0.884 0.535 0.843 0.761
0.818 0.893 0.547 0.854 0.778
0.821 0.876 0.519 0.847 0.763
0.806 0.893 0.567 0.848 0.765
0.807 0.887 0.548 0.845 0.763
0.801 0.883 0.558 0.84 0.743
0.808 0.891 0.568 0.847 0.736
0.804 0.897 0.584 0.848 0.736
0.806 0.896 0.581 0.848 0.737

kafkabefore1
prec  pd    pf    F1    ROC
0.68 0.5 0.151 0.576 0.735
0.663 0.504 0.166 0.573 0.728
0.615 0.49 0.194 0.545 0.711
0.612 0.485 0.188 0.541 0.699
0.611 0.488 0.189 0.542 0.705
0.611 0.494 0.185 0.546 0.712
0.6 0.482 0.188 0.535 0.702
0.603 0.471 0.19 0.529 0.689
0.609 0.472 0.186 0.532 0.691
0.601 0.477 0.196 0.532 0.691

kafkabefore30
prec  pd    pf    F1    ROC
0.836 0.986 0.794 0.905 0.726
0.809 0.989 0.808 0.89 0.744
0.819 0.983 0.841 0.894 0.739
0.817 0.984 0.84 0.893 0.733
0.829 0.981 0.805 0.899 0.745
0.829 0.973 0.783 0.896 0.748
0.826 0.969 0.778 0.892 0.742
0.836 0.968 0.779 0.897 0.743
0.837 0.969 0.774 0.898 0.747
0.841 0.971 0.772 0.901 0.752

kafkabefore7
prec  pd    pf    F1    ROC
0.802 0.856 0.446 0.828 0.767
0.792 0.824 0.405 0.808 0.774
0.789 0.808 0.399 0.798 0.747
0.785 0.816 0.417 0.8 0.737
0.777 0.826 0.427 0.801 0.728
0.762 0.83 0.45 0.795 0.733
0.749 0.835 0.478 0.79 0.72
0.753 0.836 0.493 0.793 0.714
0.749 0.84 0.501 0.792 0.71
0.752 0.838 0.497 0.793 0.712

kafkabefore90
prec  pd    pf    F1    ROC
0.885 0.98 0.76 0.93 0.753
